| time |   in   |load |  out   |
| 0+   |      0 |  1  |      0 |
| 1    |      0 |  1  |      0 |
| 1+   |      0 |  0  |      0 |
| 2    |      0 |  0  |      0 |
| 2+   |      3 |  1  |      0 |
| 3    |      3 |  1  |      3 |
| 3+   |      3 |  0  |      3 |
| 4    |      3 |  0  |      2 |
| 4+   |      3 |  0  |      2 |
| 5    |      3 |  0  |      1 |
| 5+   |      3 |  0  |      1 |
| 6    |      3 |  0  |      0 |
| 6+   |      3 |  0  |      0 |
| 7    |      3 |  0  |      0 |
| 7+   |  12345 |  1  |      0 |
| 8    |  12345 |  1  |  12345 |
| 8+   |      0 |  0  |  12345 |
| 9    |      0 |  0  |  12344 |
| 9+   |      0 |  0  |  12344 |
| 10   |      0 |  0  |  12343 |
| 10+  |      0 |  0  |  12343 |
| 11   |      0 |  0  |  12342 |
